央视 CCTV_,#genre#
CCTV1,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/acb5bccceb45633804405de97ead7d3b/master.m3u8
CCTV2,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/8e8af22efea448a210ce28c4bba9c033/master.m3u8
CCTV3,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/2b6de1c8b4c04c62c810697599cf3549/master.m3u8
CCTV4,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/5113086ff6643f95fd81062ba01ba41e/master.m3u8
CCTV5HD,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/e3fa942dfcbb74ddc4b8ae202a736a12/master.m3u8
CCTV5+,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/3e4c8813cbc3af171a9bdee24247a97d/master.m3u8
CCTV6,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/9cc560bc1b40aa3bf7d78bfc4b6f1fbc/master.m3u8
CCTV7,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/41628a2634370ff6f49b92879213192b/master.m3u8
CCTV8,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/d7118be28f7a3689accb2316a9e9be27/master.m3u8
CCTV9,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/bf747874f5d0b0612a7537dc35f4a02d/master.m3u8
CCTV10,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/cd0e7f021ca866e8b41907a697f78f06/master.m3u8
CCTV11,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/270b0144e65362eb156d41940bd08f7c/master.m3u8
CCTV12,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/cb075b6b56bc44702ad73538d6409cc5/master.m3u8
CCTV13,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/9422ea42533292660d4359742d5d30ba/master.m3u8
CCTV14,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/9c2b135d83c76f19c8c5e13910b7445d/master.m3u8
中国 CN_,#genre#
河南卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/2c854868563485135dd486801057dd6e/master.m3u8
四川卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/b82fa4086c9a2c9442279efbb80cce31/master.m3u8
山东卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/28502a1b6bf5fbe7c6da9241db596237/master.m3u8
东南卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/0b54da973aaa9d57361846b14cd7da3e/master.m3u8
湖南卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/c39a7a374d888bce3912df71bcb0d580/master.m3u8
北京卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/db47125bc6c697e608358a9dfbf95f82/master.m3u8
江苏卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/322fa7b66243b8d0edef9d761a42f263/master.m3u8
新疆卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/ad291a233f1fd3f24332e41461798a25/master.m3u8
江西卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/535765a19ab55a12bbf64a1e98ae97dd/master.m3u8
天津卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/5927c7a6dd31f38686fafa073e2e13bc/master.m3u8
辽宁卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/9291c40ec1cec1281638720c74c7245f/master.m3u8
安徽卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/5b0447ba48dbb6be1c286bab83f77e39/master.m3u8
湖北卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/55fc65ef82e92d0e1ccb2b3f200a7529/master.m3u8
深圳卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/20831bb807a45638cfaf81df1122024d/master.m3u8
南方卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/d251252558c2bb133f0284d37b1293ba/master.m3u8
浙江卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/590e187a8799b1890175d25ec85ea352/master.m3u8
香港 HongKong_,#genre#
TVB翡翠台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/263ef8e25e9d14599c49b2169d133840/master.m3u8
TVB无线新闻,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/4c1fc85012b63c1b8c4372dee724313d/master.m3u8
TVBJ2,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/ff3511d1d98878c3b9d2c4cb220baa24/master.m3u8
TVB明珠,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/b3ef2974544bd54afed596f2e9cb21cc/master.m3u8
TVB功夫,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/9ef99cc1259a2b2ca534bb73a2a095e2/master.m3u8
Tvb功夫台 国语,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/8255ce33982b5bb079cde31414a17562/master.m3u8
TVB星河,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/b71ea0a94348ba3eb862353aee89e46c/master.m3u8
Tvb 星河  国语,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/8e2d8e58a73cee77693e51c9e6ced765/master.m3u8
