綜合其他,#genre#
民視第一台,http://168x.168ro.top:34567/zb/token5.php?token=a9e37ae0c4823b5f4395577e36d405
民視台灣台,http://168x.168ro.top:34567/zb/token5.php?token=c54723fe3918dfc8efcb32345da36d
民視,http://168x.168ro.top:34567/zb/token5.php?token=eda7ee91078f73d19b4f01d559d75e
大愛電視,http://168x.168ro.top:34567/zb/token5.php?token=9a60da71f577b48cb0ef8c61ec6415
中視,http://168x.168ro.top:34567/zb/token5.php?token=b3685a7757eeb9f7c35ccdd1b70368
華視,http://168x.168ro.top:34567/zb/token5.php?token=0aa6243d3382bf9e581165c9663844
三立綜合台,http://168x.168ro.top:34567/zb/token5.php?token=d0acdcbe63a2db8c9858d1ac1be517
客家電視,http://168x.168ro.top:34567/zb/token5.php?token=174c0cc817d67bc8d40589bf9180f5
靖天綜合,http://168x.168ro.top:34567/zb/token5.php?token=8c5e872a86550a351b943794f47e75
靖天日本,http://168x.168ro.top:34567/zb/token5.php?token=d44a0c289e87e8e9b8c6255857aafb
新唐人亞太台,http://168x.168ro.top:34567/zb/token5.php?token=ae85e63029fc84f03565928cb5d50e
ARIRANG阿里郎頻道,http://168x.168ro.top:34567/zb/token5.php?token=f43b1b632702a0542576cc1c025cb6
原住民族電視台,http://168x.168ro.top:34567/zb/token5.php?token=c5c89fc84b100f66f5ad297e3c6af5
東森購物四台,http://168x.168ro.top:34567/zb/token5.php?token=f18467a00da8d42b0860a338bc953a
東森購物一台,http://168x.168ro.top:34567/zb/token5.php?token=656403695d2fc1c56b5fa2f8b0ee6e
東森購物二台,http://168x.168ro.top:34567/zb/token5.php?token=e29513a621454f7439c38c17b9acad
靖天育樂,http://168x.168ro.top:34567/zb/token5.php?token=e354854c0a1b3802cfe305ae896b62
KLT-靖天國際台,http://168x.168ro.top:34567/zb/token5.php?token=43c5a274930a4ed1bb996e230f20ee
NICE TV 靖天歡樂台,http://168x.168ro.top:34567/zb/token5.php?token=615486faf64ba50fe6a6f4039a9fc3
靖天資訊,http://168x.168ro.top:34567/zb/token5.php?token=4406bc3d5230bd2f12dbff4511a151
韓國娛樂台,http://168x.168ro.top:34567/zb/token5.php?token=c0bd3625363fdbe009a0d5d0c3f54d
東森購物三台,http://168x.168ro.top:34567/zb/token5.php?token=b6f15cc61aaaa0c12e48ac29a30cd9
好消息,http://168x.168ro.top:34567/zb/token5.php?token=b669a5d6c5597b52d32f4aab1022c9
好消息2台,http://168x.168ro.top:34567/zb/token5.php?token=5f5cdd44908d8018a975856638408b
大愛二台,http://168x.168ro.top:34567/zb/token5.php?token=d57a1eedee18c76d32a89df1849684
人間衛視,http://168x.168ro.top:34567/zb/token5.php?token=3dfa369b9c1669b3302baa77ec00e1
國會頻道1台,http://168x.168ro.top:34567/zb/token5.php?token=f086c8fb6c6d419ebc92d6ade40037
國會頻道2台,http://168x.168ro.top:34567/zb/token5.php?token=7cff2a758b83e4d52a8c3cdf6c9043
DayStar,http://168x.168ro.top:34567/zb/token5.php?token=6e818eb4de5eaad9a5a53e8fe1c832
愛爾達寵物運動台,http://168x.168ro.top:34567/zb/token5.php?token=9fb3af740669b41d488aa96d2eddae
ROCK Entertainment,http://168x.168ro.top:34567/zb/token5.php?token=245ebed95a407f534943795bce1184
ABC Australia 澳洲公廣頻道,http://168x.168ro.top:34567/zb/token5.php?token=10f4b535b1ec8e2274aa78f6d1cd0b

電影戲劇,#genre#
公視戲劇,http://168x.168ro.top:34567/zb/token5.php?token=6f1c98761e6482f208818558fd9f09
民視影劇,http://168x.168ro.top:34567/zb/token5.php?token=b989ef1d68678cd1107c3a1765bcd1
HITS頻道,http://168x.168ro.top:34567/zb/token5.php?token=24d45b14f57ec210649aa4075288c3
靖天戲劇,http://168x.168ro.top:34567/zb/token5.php?token=31ca3210c68c5f7c0f45e272306668
靖洋戲劇,http://168x.168ro.top:34567/zb/token5.php?token=ce5231285458ab473b0de6867c098d
金光布袋戲,http://168x.168ro.top:34567/zb/token5.php?token=6f71dba9fcdb59575c5abc1ce12531
ROCK Action,http://168x.168ro.top:34567/zb/token5.php?token=cdf9415e185f85e0ae976313f834c4
采昌影劇,http://168x.168ro.top:34567/zb/token5.php?token=6c4cbf05822d4892ab91aaf6b9ec62
靖天映畫,http://168x.168ro.top:34567/zb/token5.php?token=138b6c7d5415da37560372fe9e00f7
靖天電影,http://168x.168ro.top:34567/zb/token5.php?token=660af8fba1f8bf6882111bc400c007
影迷數位電影台,http://168x.168ro.top:34567/zb/token5.php?token=86e9816a5fa66119ba0759c5772bbc
amc電影台,http://168x.168ro.top:34567/zb/token5.php?token=de41eb6161d2c4ea08a83e3ab81fea
Cinema World,http://168x.168ro.top:34567/zb/token5.php?token=1ec3ffca7e53fc5ccec426242592de
MCE我的歐洲電影,http://168x.168ro.top:34567/zb/token5.php?token=9e1c1768e81b90631f43d8ecec3c4c
經典電影台,http://168x.168ro.top:34567/zb/token5.php?token=70593025d0a51f1b978220ce8e82c0
中視經典台,http://168x.168ro.top:34567/zb/token5.php?token=f66805290f3f8b9f78f801e923f9c5
台灣戲劇台,http://168x.168ro.top:34567/zb/token5.php?token=c8b1912e0800470c084bd6369734df
龍華洋片台,http://168x.168ro.top:34567/zb/token5.php?token=54e587717f9e167170542d83d778aa
龍華電影台,http://168x.168ro.top:34567/zb/token5.php?token=56f125dfd7568a06b21258bc8bf3e0
龍華日韓台,http://168x.168ro.top:34567/zb/token5.php?token=0569d21e244b0cc4d6a47c74da950f
龍華偶像台,http://168x.168ro.top:34567/zb/token5.php?token=237ec3fe25ec2040b252f13eb8eca0
龍華戲劇台,http://168x.168ro.top:34567/zb/token5.php?token=ad2cb2146c81508ae604f1ba005316
龍華經典台,http://168x.168ro.top:34567/zb/token5.php?token=5c75ae6129a11d24470ce828daccd2
