18+,#genre#
彩虹R,http://58.99.33.2:1935/liveedge2/NRPDJsoL_408_1/chunklist_w114642605.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
松1,http://58.99.33.2:1935/liveedge2/NRPDJsoL_405_1/chunklist_w2097694717.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&=&dr=123&dt=&cust_type=NE
松2,http://58.99.33.2:1935/liveedge2/NRPDJsoL_406_1/chunklist_w1350191092.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
松3,http://58.99.33.2:1935/liveedge2/NRPDJsoL_407_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
松4,http://58.99.33.2:1935/liveedge2/NRPDJsoL_404_1/chunklist_w1221017520.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
玩家,http://58.99.33.2:1935/liveedge2/NRPDJsoL_401_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
happy,http://58.99.33.2:1935/liveedge2/NRPDJsoL_402_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
HOT,http://58.99.33.2:1935/liveedge2/NRPDJsoL_403_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
乐活,http://58.99.33.2:1935/liveedge2/NRPDJsoL_410_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
潘多拉完美,http://58.99.33.2:1935/liveedge2/NRPDJsoL_411_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
潘多拉粉红,http://58.99.33.2:1935/liveedge2/NRPDJsoL_412_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
惊艳电影台,http://58.99.33.2:1935/liveedge2/NRPDJsoL_413_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
香蕉台,http://58.99.33.2:1935/liveedge2/NRPDJsoL_414_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
彩虹R,http://58.99.33.2:1935/liveedge2/NRPDJsoL_408_1/chunklist_w114642605.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
松1,http://58.99.33.2:1935/liveedge2/NRPDJsoL_405_1/chunklist_w2097694717.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&=&dr=123&dt=&cust_type=NE
松2,http://58.99.33.2:1935/liveedge2/NRPDJsoL_406_1/chunklist_w1350191092.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
松3,http://58.99.33.2:1935/liveedge2/NRPDJsoL_407_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
松4,http://58.99.33.2:1935/liveedge2/NRPDJsoL_404_1/chunklist_w1221017520.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
玩家,http://58.99.33.2:1935/liveedge2/NRPDJsoL_401_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
happy,http://58.99.33.2:1935/liveedge2/NRPDJsoL_402_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
HOT,http://58.99.33.2:1935/liveedge2/NRPDJsoL_403_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
乐活,http://58.99.33.2:1935/liveedge2/NRPDJsoL_410_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
潘多拉完美,http://58.99.33.2:1935/liveedge2/NRPDJsoL_411_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
潘多拉粉红,http://58.99.33.2:1935/liveedge2/NRPDJsoL_412_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
惊艳电影台,http://58.99.33.2:1935/liveedge2/NRPDJsoL_413_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
香蕉台,http://58.99.33.2:1935/liveedge2/NRPDJsoL_414_1/chunklist_w452892769.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
松視4台,https://hw-pull.v.momocdn.com/live/QQvSBZmXxa0lHnLlukmWIIRHsvNcqYHlkQk2XfzioWxLQmcA0IkEVvovXl3qa.flv
香蕉台,https://hw-pull.v.momocdn.com/live/P8mkgQFX7sL8HW4Pcbw7xhg18KavG4fsjl02w3DM3xyCGfDVXXiAk8HNU0arMw.flv
驚艷台,https://hw-pull.v.momocdn.com/live/r2LdPPiYjlNXd7TTck0WhkExPSm8t0veBFojLx5w4XeSxGg0iMacuRqBXo8qUp.flv
玩家頻道,https://hw-pull.v.momocdn.com/live/IiAVx7tHmJzoDz9fh3fUM3mZyiRDPVhhDMEwS6romCn9gDTIGoDbmgeqcT2.flv
HOT頻道,https://hw-pull.v.momocdn.com/live/YbXc454HWSBpiz2XhWyQViEdoGzeqVc3YJSIIxQUtqpvF3m5Qtr7LZPh1vS.flv
彩虹E台,https://hw-pull.v.momocdn.com/live/2TqbRPIP97wVT7eyNO3NljSdrwtshekXmH0A6Rza8op1IxdWaioSFueTMZE3BhY.flv
K頻道,https://hw-pull.v.momocdn.com/live/zgfWMbrre8R1jrG0yfnn7qChM5pHfn46b7UuHzR1RfjsG5aBt9gAN4MZzGOv446.flv
彩虹電影,https://hw-pull.v.momocdn.com/live/uXE2aXM5ZxZvh0F5bcpvifxB0QWmWgVQQY302Jvio2VLBUf0WwojVkQDuAgCbs.flv
極限電影台,https://hw-pull.v.momocdn.com/live/NIC27h5xWdWi0J4f0WTkXxFhcBAphMt5YxHTTX9Sg1qOyhdi2XNIfc20RUa8jDV.flv
Extasy,https://hw-pull.v.momocdn.com/live/C5GyeQK75XfSfsiRwvC3IvkOZ3SPtSQWs12n3alwDfWPuYS6hxCgdXKj1pqIv.flv
